CAD #,CAD Name,ISD #,ISD Name,Market Value,Taxable Value for M&O Purposes,Taxable Value for I&S Purposes,Effective Tax Rate,Rollback Tax Rate,M&O Tax Rate,I&S Tax Rate,Total Tax Rate,Tax Levy (calculated) 
36,Chambers,036-902,Barbers Hill Independent School District,6415345852.00000,4555644838.00000,5788493915.00000,1.46111,1.33042,1.06000,0.26980,1.32980,63907192.00000
36,Chambers,036-903,East Chambers Independent School District,385885037.00000,257742164.00000,257742164.00000,1.13213,1.22053,1.04005,0.18000,1.22005,3144583.00000
37,Cherokee,037-901,Alto Independent School District,314255074.00000,123300317.00000,123300317.00000,1.28400,1.33894,1.04000,0.27350,1.31350,1619550.00000
37,Cherokee,037-904,Jacksonville Independent School District,1367871857.00000,975854297.00000,975854297.00000,1.32180,1.42960,1.04000,0.35500,1.39500,13613167.00000
37,Cherokee,037-907,Rusk Independent School District,684664414.00000,349681960.00000,349681960.00000,1.19150,1.16443,1.04000,0.11250,1.15250,4030085.00000
201,Rusk,037-907,Rusk Independent School District,23238780.00000,9994637.00000,9994637.00000,1.19150,1.16443,1.04000,0.11250,1.15250,115188.00000
37,Cherokee,037-908,New Summerfield Independent School District,119389492.00000,59410901.00000,59410901.00000,1.10860,1.17000,1.17000,0.00000,1.17000,695108.00000
3,Angelina,037-909,Wells Independent School District,15299927.00000,7219202.00000,7219202.00000,1.17010,0.95340,1.17000,0.00000,1.17000,84465.00000
37,Cherokee,037-909,Wells Independent School District,155390470.00000,63736688.00000,63736688.00000,1.17010,0.95340,1.17000,0.00000,1.17000,745719.00000
38,Childress,038-901,Childress Independent School District,552580325.00000,331540262.00000,331540262.00000,1.01850,1.10978,1.04000,0.06950,1.10950,3678439.00000
51,Cottle,038-901,Childress Independent School District,37917660.00000,7578790.00000,7578790.00000,1.01850,1.10978,1.04000,0.06950,1.10950,84087.00000
96,Hall,038-901,Childress Independent School District,19951540.00000,6717357.00000,6717357.00000,1.01850,1.10978,1.04000,0.06950,1.10950,74529.00000
99,Hardeman,038-901,Childress Independent School District,1149560.00000,167740.00000,167740.00000,1.01850,1.10978,1.04000,0.06950,1.10950,1861.00000
39,Clay,039-902,Henrietta Independent School District,746819290.00000,340865633.00000,340865633.00000,1.33068,1.31000,1.04000,0.27000,1.31000,4465340.00000
39,Clay,039-903,Petrolia Independent School District,320804510.00000,131310771.00000,131310771.00000,1.40600,1.38300,1.17000,0.21300,1.38300,1816028.00000
39,Clay,039-904,Bellevue Independent School District,223800420.00000,64589352.00000,64589352.00000,1.47837,1.17000,1.17000,0.00000,1.17000,755695.00000
39,Clay,039-905,Midway Independent School District,352587990.00000,93063607.00000,93063607.00000,1.00863,1.04000,1.04000,0.00000,1.04000,967862.00000
119,Jack,039-905,Midway Independent School District,22483210.00000,4551825.00000,4551825.00000,1.00863,1.04000,1.04000,0.00000,1.04000,47339.00000
40,Cochran,040-901,Morton Independent School District,121235280.00000,63347093.00000,63347093.00000,1.04300,1.04010,1.04000,0.00000,1.04000,658810.00000
40,Cochran,040-902,Whiteface-Bledsoe Consolidated Independent School District,806841237.00000,747139980.00000,747139980.00000,1.06577,1.04000,1.04000,0.11000,1.15000,8592110.00000
110,Hockley,040-902,Whiteface-Bledsoe Consolidated Independent School District,234402930.00000,215433338.00000,215433338.00000,1.06577,1.04000,1.04000,0.11000,1.15000,2477483.00000
140,Lamb,040-902,Whiteface-Bledsoe Consolidated Independent School District,4810053.00000,1676040.00000,1676040.00000,1.06577,1.04000,1.04000,0.11000,1.15000,19274.00000
41,Coke,041-901,Bronte Independent School District,238663930.00000,96822007.00000,96822007.00000,1.08070,1.04000,1.04000,0.00000,1.04000,1006949.00000
200,Runnels,041-901,Bronte Independent School District,77852040.00000,19873086.00000,19873086.00000,1.08070,1.04000,1.04000,0.00000,1.04000,206680.00000
41,Coke,041-902,Robert Lee Independent School District,564064220.00000,244098940.00000,361652620.00000,1.00040,1.04010,1.04000,0.42000,1.46000,4057570.00000
42,Coleman,042-901,Coleman Independent School District,585131848.00000,165322724.00000,165322724.00000,1.20860,1.31559,1.17000,0.08000,1.25000,2066534.00000
200,Runnels,042-901,Coleman Independent School District,11154480.00000,2660530.00000,2660530.00000,1.20860,1.31559,1.17000,0.08000,1.25000,33257.00000
42,Coleman,042-903,Santa Anna Independent School District,376148670.00000,89526603.00000,89526603.00000,1.01445,1.10194,1.04000,0.05960,1.09960,984435.00000
42,Coleman,042-905,Panther Creek Consolidated Independent School District,521761536.00000,110312223.00000,110312223.00000,1.15260,1.16225,1.10000,0.06225,1.16225,1282104.00000
200,Runnels,042-905,Panther Creek Consolidated Independent School District,74624794.00000,17587703.00000,17587703.00000,1.15260,1.16225,1.10000,0.06225,1.16225,204413.00000
43,Collin,043-901,Allen Independent School District,10048907684.00000,9134982921.00000,9134982921.00000,1.57509,1.64105,1.16000,0.48000,1.64000,149813720.00000
43,Collin,043-902,Anna Independent School District,996680601.00000,650603423.00000,650603423.00000,1.40277,1.54000,1.04000,0.50000,1.54000,10019293.00000
43,Collin,043-903,Celina Independent School District,1840476280.00000,737915457.00000,737915457.00000,1.64000,1.64010,1.14000,0.50000,1.64000,12101813.00000
61,Denton,043-903,Celina Independent School District,116343368.00000,19786617.00000,19786617.00000,1.64000,1.64010,1.14000,0.50000,1.64000,324501.00000
91,Grayson,043-903,Celina Independent School District,2899006.00000,235385.00000,235385.00000,1.64000,1.64010,1.14000,0.50000,1.64000,3860.00000
43,Collin,043-904,Farmersville Independent School District,608060939.00000,367450720.00000,367450720.00000,1.48538,1.43090,1.17000,0.26090,1.43090,5257834.00000
43,Collin,043-905,Frisco Independent School District,18346595100.00000,16461871733.00000,16461871733.00000,1.50633,1.46000,1.04000,0.42000,1.46000,240343327.00000
61,Denton,043-905,Frisco Independent School District,7064859793.00000,6345138184.00000,6345138184.00000,1.50633,1.46000,1.04000,0.42000,1.46000,92639017.00000
43,Collin,043-907,McKinney Independent School District,12147074811.00000,10396032729.00000,10396032729.00000,1.59000,1.67000,1.17000,0.50000,1.67000,173613747.00000
43,Collin,043-908,Melissa Independent School District,827950003.00000,566348535.00000,566348535.00000,1.17000,1.64388,1.17000,0.37000,1.54000,8721767.00000
43,Collin,043-910,Plano Independent School District,41265114132.00000,37655097371.00000,38079654451.00000,1.39381,1.45000,1.17000,0.27800,1.44800,546426079.00000
43,Collin,043-911,Princeton Independent School District,846622497.00000,579675468.00000,579675468.00000,1.62000,1.53234,1.17000,0.45000,1.62000,9390743.00000
43,Collin,043-912,Prosper Independent School District,4270937178.00000,2911260378.00000,2911260378.00000,1.80996,1.67000,1.17000,0.50000,1.67000,48618048.00000
61,Denton,043-912,Prosper Independent School District,260396273.00000,87853357.00000,87853357.00000,1.80996,1.67000,1.17000,0.50000,1.67000,1467151.00000
43,Collin,043-914,Wylie Independent School District,4342833991.00000,3848001088.00000,3848001088.00000,1.78000,1.65235,1.17000,0.47000,1.64000,63107218.00000
43,Collin,043-917,Blue Ridge Independent School District,310447739.00000,131267769.00000,131267769.00000,1.54986,1.97651,1.17000,0.42750,1.59750,2097003.00000
74,Fannin,043-917,Blue Ridge Independent School District,4239510.00000,1903080.00000,1903080.00000,1.54986,1.97651,1.17000,0.42750,1.59750,30402.00000
43,Collin,043-918,Community Independent School District,817254131.00000,527986677.00000,527986677.00000,1.61500,1.62500,1.17000,0.44500,1.61500,8526985.00000
116,Hunt,043-918,Community Independent School District,10174910.00000,5378073.00000,5378073.00000,1.61500,1.62500,1.17000,0.44500,1.61500,86856.00000
43,Collin,043-919,Lovejoy Independent School District,2118873713.00000,1838815243.00000,1838815243.00000,1.42508,1.56000,1.06000,0.50000,1.56000,28685518.00000
38,Childress,044-902,Wellington Independent School District,66563489.00000,20098132.00000,20098132.00000,0.97579,1.04005,1.00000,0.00000,1.00000,200981.00000
44,Collingsworth,044-902,Wellington Independent School District,586019510.00000,136943240.00000,136943240.00000,0.97579,1.04005,1.00000,0.00000,1.00000,1369432.00000
8,Austin,045-902,Columbus Independent School District,66629321.00000,32390336.00000,32390336.00000,1.17977,1.18626,1.04000,0.14000,1.18000,382206.00000
45,Colorado,045-902,Columbus Independent School District,2190420034.00000,878867430.00000,878867430.00000,1.17977,1.18626,1.04000,0.14000,1.18000,10370636.00000
45,Colorado,045-903,Rice Consolidated Independent School District,1189872890.00000,667236109.00000,667236109.00000,1.09648,1.20705,1.04000,0.16705,1.20705,8053873.00000
45,Colorado,045-905,Weimar Independent School District,840467075.00000,320316883.00000,320316883.00000,1.17436,1.26010,1.04000,0.22000,1.26000,4035993.00000
75,Fayette,045-905,Weimar Independent School District,64476050.00000,18056216.00000,18056216.00000,1.17436,1.26010,1.04000,0.22000,1.26000,227508.00000
143,Lavaca,045-905,Weimar Independent School District,12778189.00000,1429257.00000,1429257.00000,1.17436,1.26010,1.04000,0.22000,1.26000,18009.00000
46,Comal,046-901,New Braunfels Independent School District,3466292481.00000,2867254489.00000,2867254489.00000,1.32441,1.36590,1.01330,0.32580,1.33910,38395405.00000
94,Guadalupe,046-901,New Braunfels Independent School District,843864336.00000,714975381.00000,714975381.00000,1.32441,1.36590,1.01330,0.32580,1.33910,9574235.00000
15,Bexar,046-902,Comal Independent School District,2630009226.00000,1960832776.00000,1960832776.00000,1.37400,1.39010,1.04000,0.35000,1.39000,27255576.00000
46,Comal,046-902,Comal Independent School District,12698865198.00000,9135613314.00000,9212936514.00000,1.37400,1.39010,1.04000,0.35000,1.39000,127255656.00000
94,Guadalupe,046-902,Comal Independent School District,451778142.00000,296534080.00000,296534080.00000,1.37400,1.39010,1.04000,0.35000,1.39000,4121824.00000
105,Hays,046-902,Comal Independent School District,71740536.00000,24737238.00000,24737238.00000,1.37400,1.39010,1.04000,0.35000,1.39000,343848.00000
130,Kendall,046-902,Comal Independent School District,17289390.00000,1517420.00000,1517420.00000,1.37400,1.39010,1.04000,0.35000,1.39000,21092.00000
47,Comanche,047-901,Comanche Independent School District,750281112.00000,265120334.00000,265120334.00000,1.05784,1.04010,1.04000,0.20973,1.24973,3313288.00000
167,Mills,047-901,Comanche Independent School District,377950.00000,46768.00000,46768.00000,1.05784,1.04010,1.04000,0.20973,1.24973,584.00000
47,Comanche,047-902,DeLeon Independent School District,450442097.00000,156990846.00000,156990846.00000,1.24500,1.24500,1.04000,0.20500,1.24500,1954536.00000
67,Eastland,047-902,DeLeon Independent School District,57525970.00000,16078248.00000,16078248.00000,1.24500,1.24500,1.04000,0.20500,1.24500,200174.00000
72,Erath,047-902,DeLeon Independent School District,18605050.00000,4843091.00000,4843091.00000,1.24500,1.24500,1.04000,0.20500,1.24500,60296.00000
47,Comanche,047-903,Gustine Independent School District,209424063.00000,44645599.00000,44645599.00000,1.07378,1.11380,1.04000,0.07380,1.11380,497263.00000
47,Comanche,047-905,Sidney Independent School District,143643804.00000,23478599.00000,23478599.00000,1.13000,1.04000,1.04000,0.09000,1.13000,265308.00000
48,Concho,048-901,Eden Consolidated Independent School District,455462052.00000,159540889.00000,159540889.00000,1.00683,1.05857,1.04000,0.00000,1.04000,1659225.00000
164,Menard,048-901,Eden Consolidated Independent School District,10040000.00000,1179480.00000,1179480.00000,1.00683,1.05857,1.04000,0.00000,1.04000,12267.00000
48,Concho,048-903,Paint Rock Independent School District,235875608.00000,70028139.00000,70028139.00000,1.19249,1.54000,1.17000,0.27000,1.44000,1008405.00000
49,Cooke,049-901,Gainesville Independent School District,1283398880.00000,1003845159.00000,1003845159.00000,1.28700,1.30560,1.04000,0.24000,1.28000,12849218.00000
49,Cooke,049-902,Muenster Independent School District,737745475.00000,343010644.00000,411107199.00000,1.36170,1.44910,1.04000,0.30000,1.34000,4800632.00000
