CAD #,CAD Name,ISD #,ISD Name,Market Value,Taxable Value for M&O Purposes,Taxable Value for I&S Purposes,Effective Tax Rate,Rollback Tax Rate,M&O Tax Rate,I&S Tax Rate,Total Tax Rate,Tax Levy (calculated) 
61,Denton,061-902,Lewisville Independent School District,29872330687.00000,26982030685.00000,26982030685.00000,1.47696,1.47710,1.04000,0.43700,1.47700,398524593.00000
220,Tarrant,061-902,Lewisville Independent School District,112758754.00000,90380461.00000,90380461.00000,1.47696,1.47710,1.04000,0.43700,1.47700,1334919.00000
49,Cooke,061-903,Pilot Point Independent School District,185090441.00000,98553557.00000,98553557.00000,1.31490,1.39870,1.17000,0.20000,1.37000,1350184.00000
61,Denton,061-903,Pilot Point Independent School District,994893151.00000,464030995.00000,464030995.00000,1.31490,1.39870,1.17000,0.20000,1.37000,6357225.00000
91,Grayson,061-903,Pilot Point Independent School District,30413445.00000,10527221.00000,10527221.00000,1.31490,1.39870,1.17000,0.20000,1.37000,144223.00000
61,Denton,061-905,Krum Independent School District,1004873042.00000,757399483.00000,757399483.00000,1.55597,1.56069,1.17000,0.37000,1.54000,11663952.00000
249,Wise,061-905,Krum Independent School District,2381690.00000,845632.00000,845632.00000,1.55597,1.56069,1.17000,0.37000,1.54000,13023.00000
61,Denton,061-906,Ponder Independent School District,907898943.00000,721581612.00000,721581612.00000,1.46180,1.04010,1.04000,0.34080,1.38080,9963599.00000
61,Denton,061-907,Aubrey Independent School District,1083751215.00000,652795859.00000,652795859.00000,1.43137,1.58013,1.04000,0.47000,1.51000,9857217.00000
61,Denton,061-908,Sanger Independent School District,1135913783.00000,788014695.00000,788014695.00000,1.31000,1.24207,1.17000,0.20207,1.37207,10812090.00000
61,Denton,061-910,Argyle Independent School District,1640372572.00000,1186620825.00000,1186620825.00000,1.39611,1.62382,1.10005,0.47000,1.57005,18630540.00000
61,Denton,061-911,Northwest Independent School District,7005563200.00000,5602428106.00000,5602428106.00000,1.36710,1.45250,1.04000,0.41250,1.45250,81375268.00000
220,Tarrant,061-911,Northwest Independent School District,6624701904.00000,4861034556.00000,4861034556.00000,1.36710,1.45250,1.04000,0.41250,1.45250,70606527.00000
249,Wise,061-911,Northwest Independent School District,1303886320.00000,1090637237.00000,1090637237.00000,1.36710,1.45250,1.04000,0.41250,1.45250,15841506.00000
61,Denton,061-912,Lake Dallas Independent School District,1524135550.00000,1357246194.00000,1357246194.00000,1.55584,1.71413,1.17000,0.50000,1.67000,22666011.00000
61,Denton,061-914,Little Elm Independent School District,2670659785.00000,2356608632.00000,2356608632.00000,1.42709,1.54010,1.04000,0.50000,1.54000,36291773.00000
62,Dewitt,062-901,Cuero Independent School District,2106573100.00000,1610304413.00000,1610304413.00000,0.66140,1.37707,0.94000,0.43707,1.37707,22175019.00000
89,Gonzales,062-901,Cuero Independent School District,814874900.00000,776690669.00000,776690669.00000,0.66140,1.37707,0.94000,0.43707,1.37707,10695574.00000
62,Dewitt,062-902,Nordheim Independent School District,944492520.00000,804731016.00000,804731016.00000,0.94707,1.46403,0.91470,0.20000,1.11470,8970337.00000
128,Karnes,062-902,Nordheim Independent School District,8267122.00000,3374696.00000,3374696.00000,0.94707,1.46403,0.91470,0.20000,1.11470,37618.00000
62,Dewitt,062-903,Yoakum Independent School District,812853400.00000,525932381.00000,525932381.00000,1.00000,1.38280,1.04000,0.31476,1.35476,7125122.00000
89,Gonzales,062-903,Yoakum Independent School District,353173220.00000,325370942.00000,325370942.00000,1.00000,1.38280,1.04000,0.31476,1.35476,4407995.00000
143,Lavaca,062-903,Yoakum Independent School District,846789240.00000,205470828.00000,692802108.00000,1.00000,1.38280,1.04000,0.31476,1.35476,4317561.00000
62,Dewitt,062-904,Yorktown Independent School District,3069331360.00000,2629681156.00000,2629681156.00000,1.03390,1.05120,0.98000,0.01120,0.99120,26065400.00000
62,Dewitt,062-905,Westhoff Independent School District,1559518470.00000,1455686466.00000,1455686466.00000,1.16263,1.04000,0.96000,0.00000,0.96000,13974590.00000
62,Dewitt,062-906,Meyersville Independent School District,223389330.00000,45127346.00000,45127346.00000,1.02237,1.04000,1.04000,0.00000,1.04000,469324.00000
235,Victoria,062-906,Meyersville Independent School District,40450357.00000,19290224.00000,19290224.00000,1.02237,1.04000,1.04000,0.00000,1.04000,200618.00000
63,Dickens,063-903,Spur Independent School District,560414050.00000,206749267.00000,313343007.00000,1.03490,1.04000,1.04000,0.18800,1.22800,2739277.00000
132,Kent,063-903,Spur Independent School District,14874580.00000,8300723.00000,8300723.00000,1.03490,1.04000,1.04000,0.18800,1.22800,101933.00000
63,Dickens,063-906,Patton Springs Independent School District,261623090.00000,82126419.00000,82126419.00000,1.03490,1.04000,1.17000,0.00000,1.17000,960879.00000
64,Dimmit,064-903,Carrizo Springs Consolidated Independent School District,8078657890.00000,6910442856.00000,6910442856.00000,0.85250,1.21220,1.06000,0.04220,1.10220,76166901.00000
6,Armstrong,065-901,Clarendon Independent School District,39325060.00000,9482589.00000,9482589.00000,1.13936,1.17000,1.17000,0.00000,1.17000,110946.00000
23,Briscoe,065-901,Clarendon Independent School District,36286340.00000,8255740.00000,8255740.00000,1.13936,1.17000,1.17000,0.00000,1.17000,96592.00000
65,Donley,065-901,Clarendon Independent School District,423195037.00000,127189580.00000,127189580.00000,1.13936,1.17000,1.17000,0.00000,1.17000,1488118.00000
44,Collingsworth,065-902,Hedley Independent School District,49359290.00000,7843876.00000,7843876.00000,1.01026,1.05022,0.99000,0.06000,1.05000,82361.00000
65,Donley,065-902,Hedley Independent School District,159330210.00000,46144412.00000,46144412.00000,1.01026,1.05022,0.99000,0.06000,1.05000,484516.00000
66,Duval,066-005,Ramirez Common School District,131318270.00000,20488351.00000,20488351.00000,0.00000,0.00000,1.04000,0.00000,1.04000,213079.00000
66,Duval,066-901,Benavides Independent School District,977148836.00000,241310590.00000,241310590.00000,0.00000,0.00000,1.04000,0.23980,1.27980,3088293.00000
66,Duval,066-902,San Diego Independent School District,632595363.00000,147949356.00000,147949356.00000,1.44077,1.24276,1.04000,0.47709,1.51709,2244525.00000
125,Jim Wells,066-902,San Diego Independent School District,52003842.00000,32319969.00000,32319969.00000,1.44077,1.24276,1.04000,0.47709,1.51709,490323.00000
66,Duval,066-903,Freer Independent School District,767513561.00000,348002122.00000,348002122.00000,0.00000,0.00000,1.17000,0.31880,1.48880,5181056.00000
30,Callahan,067-902,Cisco Independent School District,5705250.00000,2131936.00000,2131936.00000,1.22154,1.17000,1.17000,0.00000,1.17000,24944.00000
67,Eastland,067-902,Cisco Independent School District,871740500.00000,600579880.00000,600579880.00000,1.22154,1.17000,1.17000,0.00000,1.17000,7026785.00000
67,Eastland,067-903,Eastland Independent School District,812943690.00000,449214461.00000,449214461.00000,1.05941,1.04000,1.04000,0.00000,1.04000,4671830.00000
47,Comanche,067-904,Gorman Independent School District,65375823.00000,14212497.00000,14212497.00000,1.32940,1.34460,1.04000,0.30460,1.34460,191101.00000
67,Eastland,067-904,Gorman Independent School District,198657380.00000,99782940.00000,99782940.00000,1.32940,1.34460,1.04000,0.30460,1.34460,1341681.00000
67,Eastland,067-907,Ranger Independent School District,286308750.00000,98909350.00000,98909350.00000,1.05943,1.04010,1.04000,0.00000,1.04000,1028657.00000
215,Stephens,067-907,Ranger Independent School District,36445954.00000,7017338.00000,7017338.00000,1.05943,1.04010,1.04000,0.00000,1.04000,72980.00000
25,Brown,067-908,Rising Star Independent School District,4795720.00000,957051.00000,957051.00000,1.06539,1.11400,1.11400,0.00000,1.11400,10662.00000
47,Comanche,067-908,Rising Star Independent School District,16199505.00000,2766754.00000,2766754.00000,1.06539,1.11400,1.11400,0.00000,1.11400,30822.00000
67,Eastland,067-908,Rising Star Independent School District,182639880.00000,42219773.00000,42219773.00000,1.06539,1.11400,1.11400,0.00000,1.11400,470328.00000
68,Ector,068-901,Ector County Independent School District,16358481014.00000,14358382395.00000,14358382395.00000,1.10677,1.17613,1.04000,0.12100,1.16100,166700820.00000
69,Edwards,069-901,Rocksprings Independent School District,1270930984.00000,297954289.00000,297954289.00000,1.09683,1.04000,1.04000,0.09683,1.13683,3387234.00000
233,Val Verde,069-901,Rocksprings Independent School District,5383880.00000,560340.00000,560340.00000,1.09683,1.04000,1.04000,0.09683,1.13683,6370.00000
69,Edwards,069-902,Nueces Canyon Consolidated Independent School District,440391245.00000,89875319.00000,89875319.00000,1.17000,1.17000,1.17000,0.00000,1.17000,1051541.00000
193,Real,069-902,Nueces Canyon Consolidated Independent School District,325891709.00000,78826496.00000,78826496.00000,1.17000,1.17000,1.17000,0.00000,1.17000,922270.00000
232,Uvalde,069-902,Nueces Canyon Consolidated Independent School District,158021581.00000,53431015.00000,53431015.00000,1.17000,1.17000,1.17000,0.00000,1.17000,625143.00000
70,Ellis,070-901,Avalon Independent School District,83669920.00000,36242595.00000,36242595.00000,1.20072,1.22623,1.17000,0.05000,1.22000,442160.00000
70,Ellis,070-903,Ennis Independent School District,2153446817.00000,1735639788.00000,1735639788.00000,1.55852,1.55646,1.04000,0.50000,1.54000,26728853.00000
175,Navarro,070-903,Ennis Independent School District,23689290.00000,8717354.00000,8717354.00000,1.55852,1.55646,1.04000,0.50000,1.54000,134247.00000
57,Dallas,070-905,Ferris Independent School District,20410870.00000,18020149.00000,18020149.00000,1.29501,1.33543,1.04000,0.28500,1.32500,238767.00000
70,Ellis,070-905,Ferris Independent School District,435584593.00000,296754299.00000,296754299.00000,1.29501,1.33543,1.04000,0.28500,1.32500,3931994.00000
70,Ellis,070-907,Italy Independent School District,173019275.00000,98647674.00000,98647674.00000,1.22640,1.25283,1.17000,0.07696,1.24696,1230097.00000
70,Ellis,070-908,Midlothian Independent School District,4043545991.00000,3247286846.00000,3247286846.00000,1.47902,1.55244,1.04000,0.50000,1.54000,50008217.00000
70,Ellis,070-909,Milford Independent School District,100883938.00000,54291243.00000,54291243.00000,1.16219,1.17000,1.17000,0.00000,1.17000,635208.00000
109,Hill,070-909,Milford Independent School District,38218850.00000,23357001.00000,23357001.00000,1.16219,1.17000,1.17000,0.00000,1.17000,273277.00000
70,Ellis,070-910,Palmer Independent School District,324333734.00000,217161349.00000,217161349.00000,1.23238,1.55083,1.17000,0.38000,1.55000,3366001.00000
70,Ellis,070-911,Red Oak Independent School District,1615232909.00000,1380165715.00000,1380165715.00000,1.55161,1.66280,1.17000,0.37000,1.54000,21254552.00000
70,Ellis,070-912,Waxahachie Independent School District,3593185762.00000,2941252198.00000,2941252198.00000,1.38193,1.52890,1.17000,0.25890,1.42890,42027553.00000
70,Ellis,070-915,Maypearl Independent School District,417693729.00000,268901873.00000,268901873.00000,1.36858,1.37793,1.04000,0.30600,1.34600,3619419.00000
71,El Paso,071-901,Clint Independent School District,1248359404.00000,1068965222.00000,1068965222.00000,0.00000,0.00000,1.04005,0.29500,1.33505,14271220.00000
71,El Paso,071-902,El Paso Independent School District,18356195444.00000,15816843628.00000,15816843628.00000,0.00000,0.00000,1.04000,0.19500,1.23500,195338019.00000
71,El Paso,071-903,Fabens Independent School District,263483266.00000,164711247.00000,164711247.00000,0.00000,0.00000,1.04000,0.22190,1.26190,2078491.00000
71,El Paso,071-904,San Elizario Independent School District,257658380.00000,200776525.00000,200776525.00000,1.16409,1.16070,1.10896,0.05180,1.16076,2330526.00000
71,El Paso,071-905,Ysleta Independent School District,8840296313.00000,6524316114.00000,6524316114.00000,1.36735,1.36250,1.17000,0.19000,1.36000,88730699.00000
71,El Paso,071-906,Anthony Independent School District,224335157.00000,177445546.00000,177445546.00000,0.00000,0.00000,1.04000,0.17419,1.21419,2154533.00000
71,El Paso,071-907,Canutillo Independent School District,2070332788.00000,1651890948.00000,1651890948.00000,0.00000,0.00000,1.17000,0.36000,1.53000,25273932.00000
71,El Paso,071-908,Tornillo Independent School District,98536382.00000,62536945.00000,62536945.00000,0.00000,0.00000,1.09010,0.21360,1.30370,815294.00000
71,El Paso,071-909,Socorro Independent School District,10200081238.00000,8556379835.00000,8556379835.00000,1.32967,1.32755,0.97614,0.29865,1.27479,109076217.00000
72,Erath,072-901,Three-Way Independent School District,159379160.00000,42956987.00000,42956987.00000,0.95960,1.04000,1.04000,0.00000,1.04000,446753.00000
213,Somervell,072-901,Three-Way Independent School District,9680820.00000,3206005.00000,3206005.00000,0.95960,1.04000,1.04000,0.00000,1.04000,33342.00000
47,Comanche,072-902,Dublin Independent School District,69247550.00000,12193268.00000,12193268.00000,1.17190,1.25940,1.04000,0.20240,1.24240,151489.00000
72,Erath,072-902,Dublin Independent School District,620149210.00000,268840804.00000,268840804.00000,1.17190,1.25940,1.04000,0.20240,1.24240,3340078.00000
72,Erath,072-903,Stephenville Independent School District,2118421320.00000,1441585069.00000,1441585069.00000,1.16400,1.23490,1.04000,0.19490,1.23490,17802134.00000
72,Erath,072-904,Bluff Dale Independent School District,204883890.00000,117894832.00000,117894832.00000,2.06040,0.87610,1.04000,0.05590,1.09590,1292009.00000
111,Hood,072-904,Bluff Dale Independent School District,12242330.00000,3271083.00000,3271083.00000,2.06040,0.87610,1.04000,0.05590,1.09590,35848.00000
67,Eastland,072-908,Huckabay Independent School District,9631380.00000,470890.00000,470890.00000,1.04010,1.04010,1.04000,0.00000,1.04000,4897.00000
72,Erath,072-908,Huckabay Independent School District,353957190.00000,120355325.00000,120355325.00000,1.04010,1.04010,1.04000,0.00000,1.04000,1251695.00000
47,Comanche,072-909,Lingleville Independent School District,409735.00000,96235.00000,96235.00000,1.11890,1.12180,1.04000,0.07890,1.11890,1077.00000
67,Eastland,072-909,Lingleville Independent School District,52575920.00000,9335072.00000,37994402.00000,1.11890,1.12180,1.04000,0.07890,1.11890,127062.00000
72,Erath,072-909,Lingleville Independent School District,256454920.00000,83135913.00000,98405483.00000,1.11890,1.12180,1.04000,0.07890,1.11890,942255.00000
72,Erath,072-910,Morgan Mill Independent School District,205055840.00000,79741988.00000,79741988.00000,1.06180,1.04000,1.04000,0.00000,1.04000,829317.00000
73,Falls,073-901,Chilton Independent School District,140790430.00000,60821693.00000,60821693.00000,0.00000,0.00000,1.04000,0.20000,1.24000,754189.00000
73,Falls,073-903,Marlin Independent School District,484157064.00000,231958118.00000,231958118.00000,0.00000,0.00000,1.04000,0.11500,1.15500,2679116.00000
73,Falls,073-904,Westphalia Independent School District,38928540.00000,16637792.00000,16637792.00000,0.00000,0.00000,0.96180,0.00000,0.96180,160022.00000
14,Bell,073-905,Rosebud-Lott Independent School District,18439712.00000,6759863.00000,6759863.00000,0.99000,1.00390,0.99000,0.00000,0.99000,66923.00000
73,Falls,073-905,Rosebud-Lott Independent School District,372662700.00000,153204955.00000,153204955.00000,0.99000,1.00390,0.99000,0.00000,0.99000,1516729.00000
166,Milam,073-905,Rosebud-Lott Independent School District,68156591.00000,11252994.00000,11252994.00000,0.99000,1.00390,0.99000,0.00000,0.99000,111405.00000
74,Fannin,074-903,Bonham Independent School District,932905667.00000,569199654.00000,569199654.00000,1.04520,1.19610,1.04010,0.15600,1.19610,6808197.00000
74,Fannin,074-904,Dodd City Independent School District,98743384.00000,41109881.00000,41109881.00000,1.26750,1.27000,1.04000,0.23000,1.27000,522095.00000
74,Fannin,074-905,Ector Independent School District,84286628.00000,38276063.00000,38276063.00000,1.17000,1.17000,1.17000,0.12500,1.29500,495675.00000
74,Fannin,074-907,Honey Grove Consolidated Independent School District,397715949.00000,166811544.00000,166811544.00000,1.04091,1.04091,1.04000,0.36912,1.40912,2350575.00000
139,Lamar,074-907,Honey Grove Consolidated Independent School District,11561260.00000,8945799.00000,8945799.00000,1.04091,1.04091,1.04000,0.36912,1.40912,126057.00000
43,Collin,074-909,Leonard Independent School District,22769517.00000,7890092.00000,7890092.00000,1.22700,1.27096,1.17000,0.10096,1.27096,100280.00000
74,Fannin,074-909,Leonard Independent School District,213707899.00000,127412015.00000,127412015.00000,1.22700,1.27096,1.17000,0.10096,1.27096,1619356.00000
116,Hunt,074-909,Leonard Independent School District,22213510.00000,8040194.00000,8040194.00000,1.22700,1.27096,1.17000,0.10096,1.27096,102188.00000
74,Fannin,074-911,Savoy Independent School District,163162012.00000,82098577.00000,82098577.00000,1.08000,1.04000,1.04000,0.28300,1.32300,1086164.00000
43,Collin,074-912,Trenton Independent School District,10284749.00000,6121985.00000,6121985.00000,1.43072,1.45141,1.17000,0.28140,1.45140,88854.00000
74,Fannin,074-912,Trenton Independent School District,223568658.00000,139131331.00000,139131331.00000,1.43072,1.45141,1.17000,0.28140,1.45140,2019352.00000
91,Grayson,074-912,Trenton Independent School District,11099920.00000,5944455.00000,5944455.00000,1.43072,1.45141,1.17000,0.28140,1.45140,86278.00000
74,Fannin,074-917,Sam Rayburn Independent School District,269673002.00000,95542882.00000,95542882.00000,1.29843,1.20050,1.17000,0.03500,1.20500,1151292.00000
75,Fayette,075-901,Flatonia Independent School District,1037709225.00000,473162614.00000,473162614.00000,0.00000,0.00000,1.17000,0.14000,1.31000,6198430.00000
75,Fayette,075-902,La Grange Independent School District,2009654851.00000,1034842660.00000,1034842660.00000,0.00000,0.00000,1.04000,0.00000,1.04000,10762364.00000
75,Fayette,075-903,Schulenburg Independent School District,851777341.00000,422915356.00000,422915356.00000,0.00000,0.00000,1.04000,0.11650,1.15650,4891016.00000
75,Fayette,075-906,Fayetteville Independent School District,395856268.00000,170092859.00000,170092859.00000,0.00000,0.00000,1.04000,0.00000,1.04000,1768966.00000
75,Fayette,075-908,Round Top-Carmine Independent School District,831778231.00000,319578453.00000,319578453.00000,0.00000,0.00000,1.06000,0.08500,1.14500,3659173.00000
76,Fisher,076-903,Roby Independent School District,243874930.00000,110469050.00000,110469050.00000,1.17867,1.29870,1.17000,0.08000,1.25000,1380863.00000
127,Jones,076-903,Roby Independent School District,5597660.00000,2018710.00000,2018710.00000,1.17867,1.29870,1.17000,0.08000,1.25000,25234.00000
76,Fisher,076-904,Rotan Independent School District,214404630.00000,97630303.00000,97630303.00000,1.48467,1.21700,1.17000,0.04700,1.21700,1188161.00000
132,Kent,076-904,Rotan Independent School District,39706890.00000,2350940.00000,22767610.00000,1.48467,1.21700,1.17000,0.04700,1.21700,38207.00000
217,Stonewall,076-904,Rotan Independent School District,50756735.00000,16667867.00000,21251197.00000,1.48467,1.21700,1.17000,0.04700,1.21700,205002.00000
77,Floyd,077-901,Floydada Independent School District,408701320.00000,267422845.00000,267422845.00000,1.31000,1.31177,1.17000,0.14176,1.31176,3507946.00000
77,Floyd,077-902,Lockney Independent School District,175632100.00000,105013328.00000,105013328.00000,1.06000,1.14000,1.14000,0.00000,1.14000,1197152.00000
95,Hale,077-902,Lockney Independent School District,807993.00000,387068.00000,387068.00000,1.06000,1.14000,1.14000,0.00000,1.14000,4413.00000
78,Foard,078-901,Crowell Independent School District,568633340.00000,165055505.00000,165055505.00000,0.90670,0.94670,1.17000,0.00000,1.17000,1931149.00000
135,King,078-901,Crowell Independent School District,22695890.00000,3004630.00000,3004630.00000,0.90670,0.94670,1.17000,0.00000,1.17000,35154.00000
138,Knox,078-901,Crowell Independent School District,77475150.00000,7356041.00000,7356041.00000,0.90670,0.94670,1.17000,0.00000,1.17000,86066.00000
79,Fort Bend,079-901,Lamar Consolidated Independent School District,14135080231.00000,11662511331.00000,11662511331.00000,0.00000,0.00000,1.04005,0.35000,1.39005,162114739.00000
79,Fort Bend,079-906,Needville Independent School District,1174382806.00000,686512726.00000,686512726.00000,0.00000,0.00000,1.04000,0.55995,1.59995,10983840.00000
79,Fort Bend,079-907,Fort Bend Independent School District,31294364326.00000,28342487607.00000,28342487607.00000,0.00000,0.00000,1.04000,0.30000,1.34000,379789334.00000
79,Fort Bend,079-910,Stafford Municipal School District,2492217118.00000,2131469118.00000,2131469118.00000,1.04010,1.04005,1.04005,0.20000,1.24005,26431283.00000
101,Harris,079-910,Stafford Municipal School District,8495394.00000,6242376.00000,6242376.00000,1.04010,1.04005,1.04005,0.20000,1.24005,77409.00000
80,Franklin,080-901,Mount Vernon Independent School District,1340620880.00000,973302322.00000,973302322.00000,1.15122,1.31584,0.99024,0.25850,1.24874,12154015.00000
112,Hopkins,080-901,Mount Vernon Independent School District,1463694.00000,417634.00000,417634.00000,1.15122,1.31584,0.99024,0.25850,1.24874,5215.00000
81,Freestone,081-902,Fairfield Independent School District,2199462937.00000,1554409971.00000,1554409971.00000,1.41520,1.30266,1.13667,0.26266,1.39933,21751325.00000
175,Navarro,081-902,Fairfield Independent School District,134721080.00000,104871076.00000,104871076.00000,1.41520,1.30266,1.13667,0.26266,1.39933,1467492.00000
81,Freestone,081-904,Teague Independent School District,1168979362.00000,937546639.00000,937546639.00000,1.49790,1.52125,1.04000,0.48125,1.52125,14262391.00000
81,Freestone,081-905,Wortham Independent School District,187518599.00000,114841992.00000,114841992.00000,1.37821,1.34497,1.04000,0.30497,1.34497,1544594.00000
147,Limestone,081-905,Wortham Independent School District,4856940.00000,827705.00000,827705.00000,1.37821,1.34497,1.04000,0.30497,1.34497,11132.00000
175,Navarro,081-905,Wortham Independent School District,46984724.00000,18333339.00000,18333339.00000,1.37821,1.34497,1.04000,0.30497,1.34497,246578.00000
81,Freestone,081-906,Dew Independent School District,265452430.00000,198497224.00000,198497224.00000,1.12515,1.19169,0.92670,0.26499,1.19169,2365468.00000
82,Frio,082-902,Dilley Independent School District,724858280.00000,452975660.00000,452975660.00000,1.00000,1.04000,1.04000,0.21000,1.25000,5662196.00000
142,La Salle,082-902,Dilley Independent School District,1107444801.00000,1032292526.00000,1032292526.00000,1.00000,1.04000,1.04000,0.21000,1.25000,12903657.00000
82,Frio,082-903,Pearsall Independent School District,2295311620.00000,1448258266.00000,1448258266.00000,0.94272,1.29230,1.17000,0.10500,1.27500,18465293.00000
83,Gaines,083-901,Seagraves Independent School District,258223063.00000,206625374.00000,206625374.00000,1.25127,1.35301,1.00000,0.34840,1.34840,2786137.00000
223,Terry,083-901,Seagraves Independent School District,23462194.00000,11869251.00000,11869251.00000,1.25127,1.35301,1.00000,0.34840,1.34840,160045.00000
251,Yoakum,083-901,Seagraves Independent School District,47377674.00000,42494321.00000,42494321.00000,1.25127,1.35301,1.00000,0.34840,1.34840,572993.00000
83,Gaines,083-902,Loop Independent School District,528077633.00000,472713257.00000,472713257.00000,0.99378,1.00206,0.84670,0.09000,0.93670,4427905.00000
223,Terry,083-902,Loop Independent School District,19008946.00000,17925463.00000,17925463.00000,0.99378,1.00206,0.84670,0.09000,0.93670,167908.00000
83,Gaines,083-903,Seminole Independent School District,6027742748.00000,5676605184.00000,5676605184.00000,0.99142,1.13297,0.74000,0.26000,1.00000,56766052.00000
84,Galveston,084-901,Dickinson Independent School District,3328736550.00000,2927504970.00000,2927504970.00000,1.54010,1.04010,1.04000,0.50000,1.54000,45083577.00000
84,Galveston,084-902,Galveston Independent School District,6332410279.00000,5568130067.00000,5568130067.00000,1.08871,1.13500,1.06000,0.09500,1.15500,64311902.00000
84,Galveston,084-903,High Island Independent School District,102633410.00000,94675861.00000,94675861.00000,1.17662,1.35896,1.17000,0.15000,1.32000,1249721.00000
84,Galveston,084-904,La Marque Independent School District,1678419856.00000,1487129157.00000,1487129157.00000,1.19831,1.23482,1.04000,0.18000,1.22000,18142976.00000
84,Galveston,084-906,Texas City Independent School District,4555948229.00000,3963481960.00000,3963481960.00000,1.17160,1.43580,1.04000,0.22160,1.26160,50003288.00000
84,Galveston,084-908,Hitchcock Independent School District,619334733.00000,531759178.00000,531759178.00000,1.51959,1.60602,1.04000,0.50000,1.54000,8189091.00000
84,Galveston,084-909,Santa Fe Independent School District,1413812622.00000,1107147714.00000,1107147714.00000,1.39660,1.43580,1.04000,0.39580,1.43580,15896427.00000
84,Galveston,084-910,Clear Creek Independent School District,6431534170.00000,5584806368.00000,5584806368.00000,1.33094,1.43145,1.04000,0.36000,1.40000,78187289.00000
101,Harris,084-910,Clear Creek Independent School District,13392211090.00000,11843980905.00000,11843980905.00000,1.33094,1.43145,1.04000,0.36000,1.40000,165815733.00000
20,Brazoria,084-911,Friendswood Independent School District,1446390.00000,1302746.00000,1302746.00000,1.33990,1.36700,1.04000,0.32700,1.36700,17809.00000
84,Galveston,084-911,Friendswood Independent School District,2598295229.00000,2337930835.00000,2337930835.00000,1.33990,1.36700,1.04000,0.32700,1.36700,31959515.00000
85,Garza,085-902,Post Independent School District,1134231701.00000,855605490.00000,855605490.00000,1.02559,1.26510,1.04010,0.22500,1.26510,10824265.00000
132,Kent,085-902,Post Independent School District,1395360.00000,153720.00000,153720.00000,1.02559,1.26510,1.04010,0.22500,1.26510,1945.00000
153,Lynn,085-902,Post Independent School District,9031370.00000,3648822.00000,3648822.00000,1.02559,1.26510,1.04010,0.22500,1.26510,46161.00000
85,Garza,085-903,Southland Independent School District,95048512.00000,67374459.00000,67374459.00000,1.02837,1.17005,1.06820,0.00000,1.06820,719694.00000
152,Lubbock,085-903,Southland Independent School District,889382.00000,689649.00000,689649.00000,1.02837,1.17005,1.06820,0.00000,1.06820,7367.00000
153,Lynn,085-903,Southland Independent School District,20773090.00000,12210764.00000,12210764.00000,1.02837,1.17005,1.06820,0.00000,1.06820,130435.00000
86,Gillespie,086-024,Doss Consolidated Common School District,295585142.00000,31506650.00000,31506650.00000,0.95530,0.92670,0.92670,0.00000,0.92670,291972.00000
157,Mason,086-024,Doss Consolidated Common School District,36896580.00000,6471528.00000,6471528.00000,0.95530,0.92670,0.92670,0.00000,0.92670,59972.00000
16,Blanco,086-901,Fredericksburg Independent School District,51189840.00000,5676488.00000,5676488.00000,1.11710,1.15320,1.04000,0.10620,1.14620,65064.00000
86,Gillespie,086-901,Fredericksburg Independent School District,5649065245.00000,2597119748.00000,2597119748.00000,1.11710,1.15320,1.04000,0.10620,1.14620,29768187.00000
130,Kendall,086-901,Fredericksburg Independent School District,29406860.00000,3290330.00000,3290330.00000,1.11710,1.15320,1.04000,0.10620,1.14620,37714.00000
86,Gillespie,086-902,Harper Independent School District,848223850.00000,295339686.00000,295339686.00000,1.03220,1.04000,1.04000,0.00000,1.04000,3071533.00000
133,Kerr,086-902,Harper Independent School District,123491910.00000,41693081.00000,41693081.00000,1.03220,1.04000,1.04000,0.00000,1.04000,433608.00000
134,Kimble,086-902,Harper Independent School District,285879529.00000,40696266.00000,40696266.00000,1.03220,1.04000,1.04000,0.00000,1.04000,423241.00000
87,Glasscock,087-901,Glasscock County Independent School District,3920725336.00000,3577553570.00000,3785286704.00000,1.08821,1.11100,1.03710,0.07000,1.10710,39752509.00000
88,Goliad,088-902,Goliad Independent School District,2596812330.00000,1052557100.00000,1052557100.00000,1.04090,1.17348,1.04000,0.13348,1.17348,12351547.00000
28,Caldwell,089-901,Gonzales Independent School District,53183363.00000,22233144.00000,22233144.00000,0.72510,1.12480,1.04000,0.08480,1.12480,250078.00000
89,Gonzales,089-901,Gonzales Independent School District,3981204060.00000,2480658019.00000,2480658019.00000,0.72510,1.12480,1.04000,0.08480,1.12480,27902441.00000
89,Gonzales,089-903,Nixon-Smiley Consolidated Independent School District,2478613460.00000,1639228363.00000,1639228363.00000,0.60850,1.27140,0.94000,0.21000,1.15000,18851126.00000
94,Guadalupe,089-903,Nixon-Smiley Consolidated Independent School District,17225975.00000,5140920.00000,5140920.00000,0.60850,1.27140,0.94000,0.21000,1.15000,59121.00000
128,Karnes,089-903,Nixon-Smiley Consolidated Independent School District,4502805.00000,369656.00000,369656.00000,0.60850,1.27140,0.94000,0.21000,1.15000,4251.00000
247,Wilson,089-903,Nixon-Smiley Consolidated Independent School District,55071972.00000,15397053.00000,15397053.00000,0.60850,1.27140,0.94000,0.21000,1.15000,177066.00000
28,Caldwell,089-905,Waelder Independent School District,51758650.00000,16260286.00000,16260286.00000,1.18620,1.15710,1.04000,0.09500,1.13500,184554.00000
